target,slug,county_code,county_name,district_code,school_code,charter_code,ada,high_needs,y201415,y201516,y202021,floor_targ_caveat
Meadows Union Elementary,meadows-union-elementary,13,Imperial,63198,0000000,,456,0.84,7772,8959,11100,FALSE
Mendota Unified,mendota-unified,10,Fresno,75127,0000000,,2985,0.99,8439,9913,12463,FALSE
Menifee Union Elementary,menifee-union-elementary,33,Riverside,67116,0000000,,9111,0.47,6612,7465,9124,FALSE
Merced City Elementary,merced-city-elementary,24,Merced,65771,0000000,,10472,0.85,7515,8824,11087,FALSE
Merced River Union Elementary,merced-river-union-elementary,24,Merced,73726,0000000,,149,0.83,9331,10172,12010,FALSE
Merced Scholars Charter,merced-scholars-charter,24,Merced,10249,0106518,0631,83,0.71,7924,9226,11538,FALSE
Merced Union High,merced-union-high,24,Merced,65789,0000000,,9613,0.78,8659,9988,12399,FALSE
Meridian Elementary,meridian-elementary,51,Sutter,71415,0000000,,76,0.78,9235,10064,11923,FALSE
Mesa Union Elementary,mesa-union-elementary,56,Ventura,72470,0000000,,630,0.41,6695,7493,9088,FALSE
Method,method,37,San Diego,68049,0129221,1617,85,0.26,7518,7848,9006,FALSE
Metro Charter,metro-charter,19,Los Angeles,64733,0127977,1535,143,0.67,8347,8853,10300,FALSE
Middletown Unified,middletown-unified,17,Lake,64055,0000000,,1443,0.53,7395,8168,9804,FALSE
Mill Valley Elementary,mill-valley-elementary,21,Marin,65391,0000000,,3156,0.07,6337,6999,8414,FALSE
Millbrae Elementary,millbrae-elementary,41,San Mateo,68973,0000000,,2396,0.39,6629,7381,8929,FALSE
Millennium Charter,millennium-charter,39,San Joaquin,75499,0102392,0606,461,0.24,7632,8455,10188,FALSE
Millennium Charter High,millennium-charter-high,27,Monterey,10272,0125765,1392,142,0.11,8047,8536,9932,FALSE
Millville Elementary,millville-elementary,45,Shasta,70052,0000000,,254,0.43,7025,7742,9266,FALSE
Milpitas Unified,milpitas-unified,43,Santa Clara,73387,0000000,,10061,0.49,7370,8096,9684,FALSE
Minarets Charter High,minarets-charter-high,20,Madera,75606,0125021,1341,238,0.33,7738,8581,10348,FALSE
Mirus Secondary,mirus-secondary,36,San Bernardino,75044,0114389,0885,315,0.81,8229,9619,12062,FALSE
Mission Preparatory,mission-preparatory,38,San Francisco,76752,0123505,1270,197,0.90,7304,8583,10805,FALSE
Mission Union Elementary,mission-union-elementary,27,Monterey,66084,0000000,,127,0.19,7256,7760,8654,FALSE
Mission View Public,mission-view-public,19,Los Angeles,65136,0114439,0888,1310,0.85,8458,10026,12698,FALSE
MIT Academy,mit-academy,48,Solano,70581,4830196,0372,365,0.58,7908,8968,11001,FALSE
Miwok Valley Language Academy Charter,miwok-valley-language-academy-charter,49,Sonoma,70847,6072136,1424,383,0.78,7108,8027,9817,FALSE
Modesto City Elementary,modesto-city-elementary,50,Stanislaus,71167,0000000,,14777,0.88,7717,8997,11250,FALSE
Modesto City High,modesto-city-high,50,Stanislaus,71175,0000000,,14333,0.64,8151,9308,11469,FALSE
Modoc Joint Unified,modoc-joint-unified,25,Modoc,73585,0000000,,786,0.62,8753,9321,10629,FALSE
Mojave River Academy,mojave-river-academy,36,San Bernardino,67827,0111807,0762,1451,0.76,8142,9488,11873,FALSE
Mojave Unified,mojave-unified,15,Kern,63677,0000000,,2496,0.81,8130,9348,11548,FALSE
Monarch Learning Center,monarch-learning-center,45,Shasta,70110,6117931,0307,91,0.66,7259,8038,9683,FALSE
Monroe Elementary,monroe-elementary,10,Fresno,62323,0000000,,205,0.90,7767,9047,11316,FALSE
Monroe Middle,monroe-middle,43,Santa Clara,69393,6046627,0899,855,0.63,6889,7740,9428,FALSE
Monrovia Unified,monrovia-unified,19,Los Angeles,64790,0000000,,5728,0.62,7495,8418,10239,FALSE
Monsenor Oscar Romero Charter Middle,monsenor-oscar-romero-charter-middle,19,Los Angeles,64733,0114959,0931,302,0.98,7576,8735,10848,FALSE
Monson-Sultana Joint Union Elementary,monson-sultana-joint-union-elementary,54,Tulare,72009,0000000,,447,0.88,7767,9043,11288,FALSE
Montague Charter Academy,montague-charter-academy,19,Los Angeles,64733,6018204,0115,1017,0.96,8199,9216,11229,FALSE
Montague Elementary,montague-elementary,47,Siskiyou,70417,0000000,,195,0.78,7682,8765,10780,FALSE
Montebello Unified,montebello-unified,19,Los Angeles,64808,0000000,,28712,0.90,8208,9539,11910,FALSE
Monterey Bay Charter,monterey-bay-charter,27,Monterey,10272,0112177,0799,321,0.34,6758,7461,8966,FALSE
Monterey County Home Charter,monterey-county-home-charter,27,Monterey,10272,2730232,0327,340,0.66,7714,8812,10868,FALSE
Monterey Peninsula Unified,monterey-peninsula-unified,27,Monterey,66092,0000000,,9494,0.70,7910,8864,10760,FALSE
Moorpark Unified,moorpark-unified,56,Ventura,73940,0000000,,6461,0.36,7138,7950,9601,FALSE
Moraga Elementary,moraga-elementary,07,Contra Costa,61747,0000000,,1817,0.04,6433,7019,8355,FALSE
Moreland,moreland,43,Santa Clara,69575,0000000,,4681,0.46,6747,7540,9141,FALSE
Moreno Valley Community Learning Center,moreno-valley-community-learning-center,33,Riverside,67124,3330685,0055,41,0.92,8641,9913,12264,FALSE
