target,slug,county_code,county_name,district_code,school_code,charter_code,ada,high_needs,y201415,y201516,y202021,floor_targ_caveat
Circle of Independent Learning,circle-of-independent-learning,01,Alameda,61176,0130534,0152,239,0.17,7001,7728,9285,FALSE
Citizens of the World 2,citizens-of-the-world-2,19,Los Angeles,64733,0126177,1413,353,0.55,6852,7749,9487,FALSE
Citizens of the World 3,citizens-of-the-world-3,19,Los Angeles,64733,0126193,1414,199,0.35,8038,8208,9237,FALSE
Citizens of the World Charter,citizens-of-the-world-charter,19,Los Angeles,64733,0122556,1200,385,0.44,6708,7519,9142,FALSE
Citrus South Tule Elementary,citrus-south-tule-elementary,54,Tulare,71845,0000000,,42,0.91,8696,9658,11635,FALSE
City Arts and Tech High,city-arts-and-tech-high,38,San Francisco,68478,0107300,0599,332,0.74,8412,9608,11849,FALSE
City Charter Elementary,city-charter-elementary,19,Los Angeles,64733,0127886,1538,155,0.60,8256,8615,9883,FALSE
City Charter Middle,city-charter-middle,19,Los Angeles,64733,0126102,1410,335,0.20,6535,7101,8426,FALSE
City Heights Preparatory Charter,city-heights-preparatory-charter,37,San Diego,68338,0124347,1312,104,1.00,7439,8275,10004,FALSE
Civicorps Corpsmember Academy,civicorps-corpsmember-academy,01,Alameda,61259,0115386,0948,60,0.94,9063,10301,12658,FALSE
Claremont Unified,claremont-unified,19,Los Angeles,64394,0000000,,6828,0.39,7213,7971,9577,FALSE
Classical Academy,classical-academy,37,San Diego,68098,6116776,0199,1230,0.22,6459,7169,8650,FALSE
Classical Academy High,classical-academy-high,37,San Diego,68106,0111195,0759,890,0.19,7541,8362,10084,FALSE
Clay Joint Elementary,clay-joint-elementary,10,Fresno,62109,0000000,,245,0.28,6547,7330,8890,FALSE
Clayton Valley Charter High,clayton-valley-charter-high,07,Contra Costa,10074,0731380,1400,1880,0.19,7557,8370,10084,FALSE
Clear Creek Elementary,clear-creek-elementary,29,Nevada,66324,0000000,,158,0.36,6768,7439,8909,FALSE
Clemente Charter,clemente-charter,19,Los Angeles,64733,0129825,1640,132,0.98,8995,9752,11553,FALSE
Cloverdale Unified,cloverdale-unified,49,Sonoma,70656,0000000,,1373,0.63,7597,8527,10366,FALSE
Clovis Online Charter,clovis-online-charter,10,Fresno,62117,0118018,1006,317,0.33,7631,8439,10155,FALSE
Clovis Unified,clovis-unified,10,Fresno,62117,0000000,,39367,0.41,7080,7889,9538,FALSE
Coachella Valley Unified,coachella-valley-unified,33,Riverside,73676,0000000,,18108,0.96,8222,9728,12287,FALSE
Coalinga/Huron Joint Unified,coalinga-huron-joint-unified,10,Fresno,62125,0000000,,4114,0.85,8263,9461,11673,FALSE
Coastal Academy,coastal-academy,37,San Diego,73569,0101071,0516,1372,0.20,6438,7147,8626,FALSE
Coastal Grove Charter,coastal-grove-charter,12,Humboldt,62679,6120562,0466,215,0.52,6928,7642,9177,FALSE
Coffee Creek Elementary,coffee-creek-elementary,53,Trinity,71670,0000000,,10,0.17,14853,15042,16801,FALSE
Coleman Tech Charter High,coleman-tech-charter-high,37,San Diego,68338,0122788,1253,209,0.45,7855,8746,10580,FALSE
Colfax Charter Elementary,colfax-charter-elementary,19,Los Angeles,64733,6016562,1041,645,0.26,7413,7933,8847,FALSE
Colfax Elementary,colfax-elementary,31,Placer,66795,0000000,,337,0.51,7279,7824,9183,FALSE
College Bridge Academy,college-bridge-academy,14,Inyo,10140,0128454,1593,174,0.99,8896,10497,13251,FALSE
College Prep High,college-prep-high,33,Riverside,67082,0128363,1564,113,0.66,7781,9152,11528,FALSE
College Preparatory Middle,college-preparatory-middle,37,San Diego,68213,0121582,1177,223,0.32,6558,7184,8581,FALSE
Colton Joint Unified,colton-joint-unified,36,San Bernardino,67686,0000000,,22401,0.83,7857,9163,11462,FALSE
Columbia Elementary,columbia-elementary,45,Shasta,69948,0000000,,809,0.37,7089,7697,9108,FALSE
Columbia Union,columbia-union,55,Tuolumne,72348,0000000,,562,0.61,7497,8341,10035,FALSE
Columbine Elementary,columbine-elementary,54,Tulare,71852,0000000,,202,0.61,7072,7980,9733,FALSE
Colusa Unified,colusa-unified,06,Colusa,61598,0000000,,1390,0.71,7819,8809,10744,FALSE
Come Back Kids,come-back-kids,33,Riverside,10330,0128397,1568,555,0.63,7954,9157,11359,FALSE
Community Collaborative Charter,community-collaborative-charter,34,Sacramento,76505,0108837,0699,716,0.91,8314,9721,12193,FALSE
Community Magnet Charter Elementary,community-magnet-charter-elementary,19,Los Angeles,64733,6094726,0957,451,0.30,7473,8000,8848,FALSE
Community Montessori Charter,community-montessori-charter,37,San Diego,68049,0127167,1494,373,0.18,7057,7478,8693,FALSE
Community Outreach Academy,community-outreach-academy,34,Sacramento,76505,0101766,0561,1453,0.95,7877,9070,11252,FALSE
Community Roots Academy,community-roots-academy,30,Orange,66464,0123729,1274,464,0.04,6404,7042,8437,FALSE
Community School for Creative Education,community-school-for-creative-education,01,Alameda,10017,0123968,1284,187,0.75,7141,8361,10498,FALSE
Competitive Edge Charter Academy (CECA),competitive-edge-charter-academy-ceca,36,San Bernardino,67959,0124032,1291,648,0.30,6573,7290,8791,FALSE
Compton Unified,compton-unified,19,Los Angeles,73437,0000000,,23185,0.88,8481,9699,11936,FALSE
Conejo Valley Unified,conejo-valley-unified,56,Ventura,73759,0000000,,19466,0.25,7078,7803,9355,FALSE
Connect Community Charter,connect-community-charter,41,San Mateo,69005,0127282,1498,189,0.74,7756,8510,10178,FALSE
Connecting Waters Charter,connecting-waters-charter,50,Stanislaus,75572,5030317,0477,1940,0.45,6984,7829,9521,FALSE
Connections Visual and Performing Arts Academy,connections-visual-and-performing-arts-academy,55,Tuolumne,72413,5530191,0408,216,0.19,7404,8200,9879,FALSE
Conservation Corps of Long Beach Gateway Cities Charter,conservation-corps-of-long-beach-gateway-cities-charter,11,Glenn,10116,0130807,1676,100,0.98,7995,9625,12318,FALSE
Conservatory of Vocal/Instrumental Arts,conservatory-of-vocal-instrumental-arts,01,Alameda,61259,0114454,0864,228,0.66,7098,8032,9838,FALSE
Corcoran Joint Unified,corcoran-joint-unified,16,Kings,63891,0000000,,3137,0.93,7993,9510,12066,FALSE
CORE Butte Charter,core-butte-charter,04,Butte,10041,0114991,0945,672,0.43,7124,7976,9690,FALSE
CORE Placer Charter,core-placer-charter,31,Placer,10314,0119214,1064,242,0.41,7279,8016,9615,FALSE
Cornerstone Academy Preparatory,cornerstone-academy-preparatory,43,Santa Clara,69450,0121483,1167,395,0.86,7525,8875,11200,FALSE
Corning Union Elementary,corning-union-elementary,52,Tehama,71498,0000000,,1962,0.89,7730,9038,11322,FALSE
Corning Union High,corning-union-high,52,Tehama,71506,0000000,,904,0.76,8635,9938,12315,FALSE
Corona-Norco Unified,corona-norco-unified,33,Riverside,67033,0000000,,51900,0.48,6992,7898,9653,FALSE
Coronado Pathways Charter,coronado-pathways-charter,37,San Diego,68031,0126110,1421,50,0.04,7050,7989,9795,FALSE
Coronado Unified,coronado-unified,37,San Diego,68031,0000000,,3032,0.09,6817,7549,9084,FALSE
Cotati-Rohnert Park Unified,cotati-rohnert-park-unified,49,Sonoma,73882,0000000,,5620,0.49,7173,8001,9684,FALSE
Cottonwood Creek Charter,cottonwood-creek-charter,45,Shasta,69955,0121640,1183,184,0.36,6635,7367,8893,FALSE
Cottonwood Union Elementary,cottonwood-union-elementary,45,Shasta,69955,0000000,,869,0.56,7233,8026,9645,FALSE
County Collaborative Charter,county-collaborative-charter,37,San Diego,68213,0129668,1628,208,0.65,7956,8665,10301,FALSE
Covina-Valley Unified,covina-valley-unified,19,Los Angeles,64436,0000000,,12336,0.71,7837,8904,10927,FALSE
Cox Academy,cox-academy,01,Alameda,10017,6001788,0740,560,0.95,8033,9013,10967,FALSE
Creative Arts Charter,creative-arts-charter,38,San Francisco,68478,6112601,0040,393,0.24,6659,7286,8695,FALSE
Creative Connections Arts Academy,creative-connections-arts-academy,34,Sacramento,76505,0108795,0686,608,0.65,7185,8211,10130,FALSE
Credo High,credo-high,49,Sonoma,73882,0123786,1281,132,0.31,7745,8574,10327,FALSE
Creekside Charter,creekside-charter,31,Placer,66852,0120105,1102,146,0.20,6462,7171,8652,FALSE
Crenshaw Arts-Technology Charter High,crenshaw-arts-technology-charter-high,19,Los Angeles,64733,0101659,0570,169,0.91,8876,10305,12860,FALSE
Crescent Valley Public Charter,crescent-valley-public-charter,54,Tulare,72140,0123273,1269,667,0.89,8809,10394,13121,FALSE
Crescent View South Charter,crescent-view-south-charter,10,Fresno,62547,0120535,1138,691,0.87,8753,10239,12846,FALSE
Crescent View West Charter,crescent-view-west-charter,10,Fresno,10108,0109991,0746,456,0.89,8836,10399,13104,FALSE
Crossroads Charter,crossroads-charter,16,Kings,63875,0101717,0571,142,0.70,7936,9119,11297,FALSE
Crown Preparatory Academy,crown-preparatory-academy,19,Los Angeles,64733,0121848,1187,412,0.97,7520,8664,10754,FALSE
Cucamonga Elementary,cucamonga-elementary,36,San Bernardino,67694,0000000,,2450,0.79,7342,8562,10710,FALSE
Cuddeback Union Elementary,cuddeback-union-elementary,12,Humboldt,62737,0000000,,116,0.46,7619,8147,9414,FALSE
Culver City Unified,culver-city-unified,19,Los Angeles,64444,0000000,,6502,0.41,7180,7909,9486,FALSE
Cupertino Union Elementary,cupertino-union-elementary,43,Santa Clara,69419,0000000,,18908,0.16,6509,7185,8628,FALSE
Curtis Creek Elementary,curtis-creek-elementary,55,Tuolumne,72355,0000000,,465,0.57,7772,8385,9840,FALSE
Cutler-Orosi Joint Unified,cutler-orosi-joint-unified,54,Tulare,71860,0000000,,3984,0.97,8366,9817,12330,FALSE
Cutten Elementary,cutten-elementary,12,Humboldt,62745,0000000,,552,0.45,6939,7687,9248,FALSE
Cuyama Joint Unified,cuyama-joint-unified,42,Santa Barbara,75010,0000000,,237,0.80,10904,11777,13845,FALSE
Cypress Charter High,cypress-charter-high,44,Santa Cruz,69765,0100305,0512,145,0.13,7520,8297,9967,FALSE
Cypress Elementary,cypress-elementary,30,Orange,66480,0000000,,3917,0.44,6723,7516,9115,FALSE
Da Vinci Charter Academy,da-vinci-charter-academy,57,Yolo,72678,0119578,1079,570,0.11,7258,7928,9447,FALSE
Da Vinci Communications High,da-vinci-communications-high,19,Los Angeles,76869,0131128,1689,129,0.42,7415,8508,10527,FALSE
Da Vinci Design,da-vinci-design,19,Los Angeles,76869,0119636,1081,489,0.46,7752,8708,10605,FALSE
Da Vinci Innovation Academy,da-vinci-innovation-academy,19,Los Angeles,76869,0128728,1597,305,0.07,6513,7105,8458,FALSE
Da Vinci Science,da-vinci-science,19,Los Angeles,76869,0119016,1060,509,0.46,7772,8716,10602,FALSE
Darby Avenue Charter,darby-avenue-charter,19,Los Angeles,64733,6016703,1569,505,0.37,7945,8044,8983,FALSE
Darnall Charter,darnall-charter,37,San Diego,68338,6039457,0033,619,0.93,7734,8516,10212,FALSE
Davis Joint Unified,davis-joint-unified,57,Yolo,72678,0000000,,7694,0.27,6951,7701,9273,FALSE
Dearborn Elementary Charter Academy,dearborn-elementary-charter-academy,19,Los Angeles,64733,6016729,1481,501,0.49,6692,7564,9255,FALSE
Death Valley Unified,death-valley-unified,14,Inyo,63271,0000000,,40,0.60,25800,27148,30943,FALSE
Dehesa Charter,dehesa-charter,37,San Diego,68049,6119564,0419,1096,0.24,6734,7494,9061,FALSE
Dehesa Elementary,dehesa-elementary,37,San Diego,68049,0000000,,181,0.52,7395,8081,9593,FALSE
Del Norte County Unified,del-norte-county-unified,08,Del Norte,61820,0000000,,3368,0.65,7660,8673,10596,FALSE
Del Vista Math and Science Academy,del-vista-math-and-science-academy,15,Kern,63404,6009369,1352,533,0.97,7857,9222,11599,FALSE
Delano Joint Union High,delano-joint-union-high,15,Kern,63412,0000000,,4068,0.88,9465,10807,13293,FALSE
Delano Union Elementary,delano-union-elementary,15,Kern,63404,0000000,,5594,0.92,8252,9500,11746,FALSE
Delhi Unified,delhi-unified,24,Merced,75366,0000000,,2590,0.89,7994,9388,11807,FALSE
Delphic Elementary,delphic-elementary,47,Siskiyou,70227,0000000,,50,0.74,8201,8967,10350,FALSE
Delta Charter,delta-charter,39,San Joaquin,68627,6119309,0393,479,0.52,7594,8449,10216,FALSE
Delta Charter,delta-charter,39,San Joaquin,68627,6119309,0393,120,0.34,7666,8449,10216,FALSE
Delta Elementary Charter,delta-elementary-charter,34,Sacramento,67413,0114660,0853,377,0.32,6642,7364,8878,FALSE
Denair Academic Avenues,denair-academic-avenues,50,Stanislaus,71068,0121574,1174,191,0.40,6632,7435,9041,FALSE
Denair Charter Academy,denair-charter-academy,50,Stanislaus,71068,5030267,0357,273,0.62,7799,8930,11033,FALSE
Denair Unified,denair-unified,50,Stanislaus,71068,0000000,,878,0.63,8020,8755,10413,FALSE
Desert Sands Charter,desert-sands-charter,19,Los Angeles,64246,1996537,0411,2832,0.84,8716,10194,12788,FALSE
Desert Sands Unified,desert-sands-unified,33,Riverside,67058,0000000,,25594,0.73,7507,8757,10954,FALSE
Desert Trails Preparatory Academy,desert-trails-preparatory-academy,36,San Bernardino,67587,6111918,1522,501,0.95,7393,8887,11363,FALSE
Design Tech High School,design-tech-high-school,41,San Mateo,69047,0129759,1647,133,0.21,7544,8378,10116,FALSE
Di Giorgio Elementary,di-giorgio-elementary,15,Kern,63420,0000000,,202,0.96,8199,9522,11856,FALSE
Diego Hills Charter,diego-hills-charter,37,San Diego,68049,0119990,1088,995,0.85,8382,9554,11764,FALSE
Diego Springs Academy,diego-springs-academy,37,San Diego,67983,0131144,1692,101,0.95,10288,11135,13172,FALSE
Diego Valley Charter,diego-valley-charter,37,San Diego,68163,0124271,1321,728,0.85,8427,9765,12170,FALSE
Dinuba Unified,dinuba-unified,54,Tulare,75531,0000000,,6327,0.96,8200,9715,12289,FALSE
Discovery Charter,discovery-charter,39,San Joaquin,75499,6118665,0355,534,0.22,6709,7609,9077,FALSE
Discovery Charter,discovery-charter,39,San Joaquin,75499,6118665,0355,871,0.46,6956,7609,9077,FALSE
Discovery Charter,discovery-charter,39,San Joaquin,75499,6118665,0355,356,0.18,6620,7609,9077,FALSE
Discovery Charter II,discovery-charter-ii,43,Santa Clara,10439,0127969,1547,348,0.16,7537,7720,8712,FALSE
Discovery Charter Preparatory No. 2,discovery-charter-preparatory-no-2,19,Los Angeles,64733,0115253,0949,296,0.95,9038,10422,12942,FALSE
Dixie Canyon Community Charter,dixie-canyon-community-charter,19,Los Angeles,64733,6016778,1469,677,0.27,6523,7308,8882,FALSE
Dixie Elementary,dixie-elementary,21,Marin,65318,0000000,,1965,0.20,6536,7286,8788,FALSE
Dixon Montessori Charter,dixon-montessori-charter,48,Solano,70532,0122267,1210,385,0.30,6584,7305,8814,FALSE
Dixon Unified,dixon-unified,48,Solano,70532,0000000,,3261,0.58,7216,8195,10056,FALSE
Dos Palos Oro Loma Jt. Unified,dos-palos-oro-loma-jt-unified,24,Merced,75317,0000000,,2298,0.90,8451,9837,12258,FALSE
Douglas City Elementary,douglas-city-elementary,53,Trinity,71696,0000000,,182,0.48,7200,7925,9461,FALSE
Downey Unified,downey-unified,19,Los Angeles,64451,0000000,,22199,0.72,7631,8800,10919,FALSE
Downtown Charter Academy,downtown-charter-academy,01,Alameda,61259,0129635,1661,250,0.85,8116,8800,10425,FALSE
Downtown College Prep - Alum Rock,downtown-college-prep-alum-rock,43,Santa Clara,10439,0123257,1268,454,0.83,7643,8947,11231,FALSE
Downtown College Preparatory,downtown-college-preparatory,43,Santa Clara,69666,4330585,0287,391,0.85,8556,9451,11364,FALSE
Downtown College Preparatory Middle,downtown-college-preparatory-middle,43,Santa Clara,69666,0129718,1623,115,0.88,7870,8170,9331,FALSE
Downtown Value,downtown-value,19,Los Angeles,64733,6119903,0448,438,0.96,7730,8890,11020,FALSE
Dr. Lewis Dolphin Stallworth Sr. Charter,dr-lewis-dolphin-stallworth-sr-charter,39,San Joaquin,68676,0117853,1027,201,1.00,7955,9208,11467,FALSE
"Dr. Theo. T. Alexander Jr., Science Center",dr-theo-t-alexander-jr-science-center,19,Los Angeles,64733,0102491,0604,630,0.86,7461,8787,11079,FALSE
Dry Creek Joint Elementary,dry-creek-joint-elementary,31,Placer,66803,0000000,,6600,0.43,6670,7444,9018,FALSE
Dual Language Academy of the Monterey Peninsula,dual-language-academy-of-the-monterey-peninsula,27,Monterey,66092,0129239,1621,350,0.76,7772,8597,10348,FALSE
Duarte Unified,duarte-unified,19,Los Angeles,64469,0000000,,3563,0.76,7798,8951,11069,FALSE
Dublin Unified,dublin-unified,01,Alameda,75093,0000000,,8939,0.15,7259,7821,8915,FALSE
Ducor Union Elementary,ducor-union-elementary,54,Tulare,71894,0000000,,191,0.92,8084,9437,11784,FALSE
Dunham Charter,dunham-charter,49,Sonoma,70672,0122440,1194,185,0.28,6519,7297,8864,FALSE
Dunsmuir Elementary,dunsmuir-elementary,47,Siskiyou,70243,0000000,,103,0.94,8798,9717,11657,FALSE
Durham Unified,durham-unified,04,Butte,61432,0000000,,941,0.40,7526,8183,9692,FALSE
E3 Civic High,e3-civic-high,37,San Diego,68338,0127647,1302,317,0.72,8227,9364,11518,FALSE
Eagle Peak Montessori,eagle-peak-montessori,07,Contra Costa,61754,6118087,0305,220,0.12,6367,7067,8528,FALSE
Earlimart Elementary,earlimart-elementary,54,Tulare,71902,0000000,,1890,0.98,7998,9406,11835,FALSE
East Nicolaus Joint Union High,east-nicolaus-joint-union-high,51,Sutter,71373,0000000,,308,0.43,8842,9568,11244,FALSE
East Oakland Leadership Academy,east-oakland-leadership-academy,01,Alameda,61259,0100123,0499,127,0.99,7793,8871,10913,FALSE
East Palo Alto Academy,east-palo-alto-academy,41,San Mateo,69062,0126722,1446,255,0.92,8699,9585,11502,FALSE
East Side Union High,east-side-union-high,43,Santa Clara,69427,0000000,,22718,0.54,8537,9377,11181,FALSE
East Whittier City Elementary,east-whittier-city-elementary,19,Los Angeles,64485,0000000,,8938,0.56,7665,8243,9408,FALSE
Eastside Union Elementary,eastside-union-elementary,19,Los Angeles,64477,0000000,,3186,0.91,7817,9190,11547,FALSE
eCademy Charter at Crane,ecademy-charter-at-crane,50,Stanislaus,75739,0124669,1309,119,0.45,7520,8340,10059,FALSE
Edison Charter Academy,edison-charter-academy,38,San Francisco,68478,6040935,0158,620,0.78,7688,8508,10243,FALSE
Edison Elementary,edison-elementary,15,Kern,63438,0000000,,1079,0.91,7819,9104,11378,FALSE
Edison-Bethune Charter Academy,edison-bethune-charter-academy,10,Fresno,10108,6085112,0195,528,0.95,8059,9178,11294,FALSE
EDUHSD Virtual Academy at Shenandoah,eduhsd-virtual-academy-at-shenandoah,09,El Dorado,61853,0930214,0366,99,0.16,7505,8316,10023,FALSE
Edward B. Cole Academy,edward-b-cole-academy,30,Orange,66670,0101626,0578,391,0.97,8043,9367,11715,FALSE
Eel River Charter,eel-river-charter,23,Mendocino,65607,2330272,0032,60,0.97,8034,9339,11665,FALSE
Einstein Academy,einstein-academy,37,San Diego,68338,6120935,0488,599,0.42,6956,7627,9117,FALSE
EJE Elementary Academy Charter,eje-elementary-academy-charter,37,San Diego,67991,0108563,0683,489,0.87,7591,8616,10577,FALSE
EJE Middle Academy,eje-middle-academy,37,San Diego,67991,0119255,1063,168,0.87,7246,8253,10157,FALSE
El Camino Real Charter High,el-camino-real-charter-high,19,Los Angeles,64733,1932623,1314,3576,0.23,7595,8425,10162,FALSE
El Centro Elementary,el-centro-elementary,13,Imperial,63123,0000000,,4800,0.86,7672,8941,11168,FALSE
El Dorado Union High,el-dorado-union-high,09,El Dorado,61853,0000000,,6475,0.20,7854,8593,10240,FALSE
El Monte City,el-monte-city,19,Los Angeles,64501,0000000,,9168,0.93,7761,9147,11524,FALSE
El Monte Union High,el-monte-union-high,19,Los Angeles,64519,0000000,,9128,0.92,9823,11028,13417,FALSE
El Nido Elementary,el-nido-elementary,24,Merced,65680,0000000,,177,0.90,8194,9486,11762,FALSE
El Oro Way Charter For Enriched Studies,el-oro-way-charter-for-enriched-studies,19,Los Angeles,64733,6016869,1466,486,0.38,6589,7407,9026,FALSE
El Rancho Charter,el-rancho-charter,30,Orange,66621,6094874,0445,1157,0.14,6464,7055,8403,FALSE
El Rancho Unified,el-rancho-unified,19,Los Angeles,64527,0000000,,9056,0.84,8026,9315,11637,FALSE
El Segundo Unified,el-segundo-unified,19,Los Angeles,64535,0000000,,3368,0.16,7020,7654,9107,FALSE
El Sol Santa Ana Science and Arts Academy,el-sol-santa-ana-science-and-arts-academy,30,Orange,66670,6119127,0365,853,0.80,7619,8686,10697,FALSE
El Tejon Unified,el-tejon-unified,15,Kern,75168,0000000,,746,0.62,8281,9135,10904,FALSE
Eleanor Roosevelt Community Learning Center,eleanor-roosevelt-community-learning-center,54,Tulare,10546,6119291,0395,283,0.48,6852,7696,9373,FALSE
Elevate Elementary,elevate-elementary,37,San Diego,68338,0129395,1633,157,0.53,7615,8063,9366,FALSE
Elise P. Buckingham Charter Magnet High,elise-p-buckingham-charter-magnet-high,48,Solano,70573,4830113,0056,440,0.15,7528,8318,10004,FALSE
Elk Grove Charter,elk-grove-charter,34,Sacramento,67314,6112254,0027,252,0.42,7698,8561,10347,FALSE
Elk Grove Unified,elk-grove-unified,34,Sacramento,67314,0000000,,59567,0.59,7286,8196,9987,FALSE
Elkins Elementary,elkins-elementary,52,Tehama,71514,0000000,,16,0.87,8824,9493,11155,FALSE
Elverta Joint Elementary,elverta-joint-elementary,34,Sacramento,67322,0000000,,287,0.73,7631,8622,10516,FALSE
Emelita Academy Charter,emelita-academy-charter,19,Los Angeles,64733,6016901,1572,387,0.68,8334,8758,10108,FALSE
Emery Unified,emery-unified,01,Alameda,61168,0000000,,696,0.75,8217,9138,10930,FALSE
Empire Springs Charter,empire-springs-charter,36,San Bernardino,67736,0128439,1592,746,0.36,7000,7635,9088,FALSE
Empire Union Elementary,empire-union-elementary,50,Stanislaus,71076,0000000,,2905,0.84,7563,8851,11093,FALSE
Empower Charter,empower-charter,37,San Diego,68338,0129387,1634,75,0.84,7861,8607,10276,FALSE
Enadia Technology Enriched Charter,enadia-technology-enriched-charter,19,Los Angeles,64733,0117036,1474,233,0.71,7150,8270,10294,FALSE
Encino Charter Elementary,encino-charter-elementary,19,Los Angeles,64733,6016935,1471,537,0.25,6501,7269,8822,FALSE
Encore Jr./Sr. High School for the Performing and Visual Arts,encore-jr-sr-high-school-for-the-performing-and-visual-arts,36,San Bernardino,75044,0116707,0971,1051,0.54,7482,8319,10054,FALSE
Endeavor College Preparatory Charter,endeavor-college-preparatory-charter,19,Los Angeles,64733,0120014,1094,569,0.95,7557,8831,11072,FALSE
Endeavour Academy,endeavour-academy,37,San Diego,67967,0128595,1566,149,0.32,7306,7688,8884,FALSE
Enterprise Elementary,enterprise-elementary,45,Shasta,69971,0000000,,3514,0.72,7235,8319,10300,FALSE
Environmental Charter High,environmental-charter-high,19,Los Angeles,64691,1996438,0353,505,0.80,8624,10022,12516,FALSE
Environmental Charter Middle,environmental-charter-middle,19,Los Angeles,10199,0121772,1204,328,0.98,7422,8649,10823,FALSE
Environmental Charter Middle - Inglewood,environmental-charter-middle-inglewood,19,Los Angeles,10199,0127498,1501,184,0.95,7949,8989,11005,FALSE
Envision Academy for Arts & Technology,envision-academy-for-arts-and-technology,01,Alameda,10017,0112607,0811,359,0.66,8333,9426,11540,FALSE
Epic Charter,epic-charter,01,Alameda,61259,0129403,1632,158,0.95,8096,8756,10351,FALSE
EPIC de Cesar Chavez,epic-de-cesar-chavez,29,Nevada,10298,0130823,1680,68,0.96,9003,10230,12568,FALSE
Epiphany Prep Charter,epiphany-prep-charter,37,San Diego,68338,0126151,1426,237,0.89,7755,8493,10142,FALSE
Equitas Academy Charter,equitas-academy-charter,19,Los Angeles,64733,0119982,1093,435,0.96,7606,9002,11388,FALSE
Equitas Academy Charter #2,equitas-academy-charter-2,19,Los Angeles,64733,0126169,1402,192,0.96,8494,9060,10590,FALSE
Escalon Charter Academy,escalon-charter-academy,39,San Joaquin,68502,0126011,1416,150,0.46,6897,7616,9155,FALSE
Escalon Unified,escalon-unified,39,San Joaquin,68502,0000000,,2616,0.54,7367,8242,9981,FALSE
Escondido Charter High,escondido-charter-high,37,San Diego,68106,3731023,0109,764,0.32,7831,8618,10331,FALSE
Escondido Union Elementary,escondido-union-elementary,37,San Diego,68098,0000000,,16664,0.79,7445,8597,10679,FALSE
Escondido Union High,escondido-union-high,37,San Diego,68106,0000000,,7297,0.72,8556,9750,11997,FALSE
Escuela Popular Accelerated Family Learning,escuela-popular-accelerated-family-learning,43,Santa Clara,69427,4330726,0502,358,0.97,8428,9624,11867,FALSE
"Escuela Popular/Center for Training and Careers, Family Learning",escuela-popular-center-for-training-and-careers-family-learning,43,Santa Clara,69427,0107151,0646,731,0.99,8747,10442,13287,FALSE
Esparto Unified,esparto-unified,57,Yolo,72686,0000000,,911,0.78,8157,9173,11148,FALSE
Etiwanda Elementary,etiwanda-elementary,36,San Bernardino,67702,0000000,,13345,0.37,6506,7314,8912,FALSE
Eureka City Unified,eureka-city-unified,12,Humboldt,75515,0000000,,3557,0.64,8115,8808,10426,FALSE
Eureka Union Elementary,eureka-union-elementary,31,Placer,66829,0000000,,3329,0.13,6640,7284,8690,FALSE
EV Cain 21st Century STEM Charter,ev-cain-21st-century-stem-charter,31,Placer,66787,6031033,1226,645,0.47,6583,7325,8858,FALSE
Evangeline Roberts Institute of Learning,evangeline-roberts-institute-of-learning,37,San Diego,68338,0121145,1151,159,0.85,7059,8169,10171,FALSE
Everest Public High,everest-public-high,41,San Mateo,69062,0119503,1070,366,0.52,7906,8842,10732,FALSE
Everest Value,everest-value,19,Los Angeles,64733,0129858,1638,163,0.98,8879,9496,11124,FALSE
Evergreen Elementary,evergreen-elementary,43,Santa Clara,69435,0000000,,12965,0.44,6776,7528,9083,FALSE
Evergreen Union Elementary,evergreen-union-elementary,52,Tehama,71522,0000000,,1012,0.59,7343,8080,9661,FALSE
Excel Prep Charter,excel-prep-charter,36,San Bernardino,67876,0121343,1153,157,0.89,7461,8911,11343,FALSE
Excel Prep Charter - IE,excel-prep-charter-ie,33,Riverside,67157,0125666,1380,730,0.78,7371,8540,10641,FALSE
Excelsior Charter,excelsior-charter,36,San Bernardino,67934,3630761,0074,1985,0.54,7462,8386,10217,FALSE
Executive Preparatory Academy of Finance,executive-preparatory-academy-of-finance,19,Los Angeles,64733,0127852,1525,156,0.79,9151,10216,12383,FALSE
Exeter Unified,exeter-unified,54,Tulare,76836,0000000,,2887,0.64,7748,8644,10459,FALSE
Explorer Elementary,explorer-elementary,37,San Diego,68338,6117683,0278,335,0.35,6942,7556,8978,FALSE
Extera Public,extera-public,19,Los Angeles,64733,0124198,1300,451,0.96,7627,8926,11202,FALSE
Extera Public School No. 2,extera-public-school-no-2,19,Los Angeles,64733,0128132,1562,171,0.97,8828,9664,11536,FALSE
Ezequiel Tafoya Alvarado Academy,ezequiel-tafoya-alvarado-academy,20,Madera,65243,0107938,0676,382,0.97,7971,9181,11392,FALSE
Fairfax Elementary,fairfax-elementary,15,Kern,63461,0000000,,2363,0.92,7683,9065,11436,FALSE
Fairfield-Suisun Unified,fairfield-suisun-unified,48,Solano,70540,0000000,,20723,0.60,7300,8250,10084,FALSE
Fairmont Charter Elementary,fairmont-charter-elementary,48,Solano,70573,6051338,0913,555,0.72,7087,7904,9574,FALSE
Fall River Joint Unified,fall-river-joint-unified,45,Shasta,69989,0000000,,1094,0.62,9431,10166,11359,FALSE
Fallbrook Union Elementary,fallbrook-union-elementary,37,San Diego,68114,0000000,,5030,0.63,7193,8135,9935,FALSE
Fallbrook Union High,fallbrook-union-high,37,San Diego,68122,0000000,,2507,0.58,8270,9237,11182,FALSE
